"SET","Total Weight(kg)","Total Count","Recovered Number","Recovered Dead Number","Released","Fork Len Tag Sample Count","Tagged Mean Fork Len(mm)","Fork Len Sample Count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","Weight Sample Count","Sample_count","Proportion Males","Male Mean Fork Len(mm)","Female Mean Fork Len(mm)"
101,432,122,0,0,32,32,696,41,41,41,41,41,41,0.51,644,728
102,34,10,0,0,0,0,,10,10,10,10,10,10,0.5,662,726
103,391,106,0,0,0,0,,102,102,102,47,47,102,0.14,638,708
104,35,15,1,0,0,1,608,14,14,14,14,14,14,0.5,602,631
105,1316,453,0,0,164,164,641,55,55,55,55,55,55,0.65,608,696
106,127,54,0,0,0,0,,56,56,56,56,56,56,0.75,591,626
107,273,92,0,0,0,0,,92,92,92,51,51,92,0.51,617,681
108,1006,457,1,0,143,144,594,54,54,54,54,54,54,0.78,579,663
109,370,162,0,0,66,66,596,48,48,48,48,48,48,0.77,559,651
110,364,108,2,0,0,2,629,105,105,105,52,52,105,0.3,630,686
111,301,76,2,0,27,29,695,17,17,17,17,17,17,0.18,648,722
112,641,179,0,0,0,0,,144,144,144,64,64,144,0.31,628,701
113,141,43,2,0,0,2,616,41,41,41,41,41,41,0.34,646,701
114,95,29,0,0,0,0,,29,29,29,29,29,29,0.31,642,696
115,471,152,1,0,51,52,652,48,48,48,48,48,48,0.4,620,651
116,320,108,1,0,34,35,642,47,47,47,47,47,47,0.45,606,684
117,350,123,0,0,38,38,639,52,52,52,52,52,52,0.63,602,646
118,525,167,2,0,62,64,652,50,50,50,50,50,50,0.54,644,679
119,93,27,0,0,0,0,,27,27,25,27,27,27,0.22,650,693
120,832,232,0,0,69,69,668,53,53,53,53,53,53,0.51,621,706
121,692,197,0,0,82,82,692,45,45,45,45,45,45,0.67,682,694
122,245,54,0,0,17,17,752,37,37,37,37,37,37,0.11,705,786
123,7,2,0,0,0,0,,2,2,2,2,2,2,1,651,0
124,31,8,0,0,8,8,692,0,0,0,0,0,0,0,0,0
125,38,9,0,0,2,2,716,7,7,7,7,7,7,0,0,698
126,972,239,0,0,83,83,719,53,53,53,53,53,53,0.19,675,733
127,216,43,0,0,0,0,,44,44,44,44,44,44,0.11,646,759
128,577,169,0,0,0,0,,132,132,132,54,54,132,0.5,630,713
129,820,182,0,0,43,43,706,52,52,52,52,52,52,0.33,638,771
130,663,168,0,0,67,67,681,54,54,54,54,54,54,0.28,641,708
131,207,57,0,0,0,0,,57,57,57,57,57,57,0.49,628,739
132,40,10,0,0,0,0,,10,10,10,10,10,10,0.4,643,765
133,224,65,0,0,0,0,,65,65,65,54,54,65,0.6,655,743
134,498,87,0,0,30,30,785,45,45,45,45,45,45,0,0,791
135,1274,434,3,0,169,172,626,49,49,49,49,49,49,0.57,596,692
136,51,27,0,0,8,8,564,19,19,19,19,19,19,0.11,549,550
137,22,10,0,0,8,8,561,4,4,4,4,4,4,0.5,531,542
138,416,168,1,0,94,95,585,61,61,61,61,61,61,0.28,565,619
139,920,364,0,0,201,201,604,52,52,52,52,52,52,0.19,585,622
140,1012,330,1,0,165,165,637,45,45,45,45,45,45,0.29,597,651
141,836,294,6,0,103,109,612,54,54,54,54,54,54,0.3,586,641
142,531,194,3,1,95,99,602,43,43,43,43,43,43,0.33,594,611
143,406,156,1,0,81,82,595,49,49,49,49,49,49,0.41,574,614
144,196,77,1,0,36,37,604,40,40,40,40,40,40,0.3,584,596
145,204,79,1,0,55,56,600,24,24,24,24,24,24,0.33,551,615
146,229,67,4,0,39,43,656,25,25,25,25,25,25,0.2,597,676
147,51,14,0,0,7,7,679,7,7,7,7,7,7,0.43,664,659
148,270,91,2,0,40,42,623,49,49,49,49,49,49,0.29,603,653
149,393,107,0,0,55,55,667,53,53,53,53,53,53,0.25,626,688
150,613,164,1,0,82,83,657,52,52,52,52,51,52,0.52,639,711
151,2,1,0,0,1,1,525,0,0,0,0,0,0,0,0,0
152,17,6,0,0,6,6,613,0,0,0,0,0,0,0,0,0
153,489,131,1,0,85,86,657,44,44,44,44,44,44,0.18,625,704
154,722,189,3,0,112,115,670,47,47,47,47,47,47,0.26,604,701
155,117,29,0,0,22,22,695,6,6,6,6,6,6,0.5,649,605
157,3,3,0,0,3,3,467,0,0,0,0,0,0,0,0,0
157,78273,26802,123,3,8177,8297,,8124,8125,8116,6770,6710,8126,,,
