"species_name","SET","morph_type","Len Sample Count","Sex Sample Count","Sample_count","Proportion Males","malelen","femlen","nosexlen"
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",9,"FORK LENGTH",11,11,11,0.73,476,503,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",11,"FORK LENGTH",2,2,2,1,511,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",12,"FORK LENGTH",11,11,11,0.36,478,487,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",14,"FORK LENGTH",8,8,8,0.88,442,464,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",21,"FORK LENGTH",12,12,12,0.5,493,486,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",23,"FORK LENGTH",1,1,2,0,0,487,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",26,"FORK LENGTH",3,3,2,0.67,483,766,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",42,"FORK LENGTH",4,4,4,0.75,448,509,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",43,"FORK LENGTH",3,3,3,0,0,497,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",48,"FORK LENGTH",7,7,8,0.71,457,466,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",49,"FORK LENGTH",6,6,5,0.5,446,596,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",67,"FORK LENGTH",1,1,1,0,0,417,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",68,"FORK LENGTH",27,26,27,0.17,468,467,488
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",72,"FORK LENGTH",18,18,18,0.5,470,438,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",80,"FORK LENGTH",72,72,68,0.47,490,493,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",81,"FORK LENGTH",5,5,5,0.8,646,691,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",82,"FORK LENGTH",11,11,12,0.36,511,518,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",83,"FORK LENGTH",2,2,2,0.5,476,656,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",88,"FORK LENGTH",52,52,51,0.63,479,482,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",93,"FORK LENGTH",9,9,9,0.78,470,484,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",94,"FORK LENGTH",24,24,24,0.54,495,475,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",95,"FORK LENGTH",9,9,9,0.44,498,475,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",103,"FORK LENGTH",45,45,49,0.44,463,471,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",110,"FORK LENGTH",10,10,10,0.6,506,477,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",111,"FORK LENGTH",14,14,14,0.5,496,578,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",112,"FORK LENGTH",5,5,5,0.2,460,453,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",115,"FORK LENGTH",1,1,1,1,502,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",117,"FORK LENGTH",10,10,10,0.6,494,508,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",127,"FORK LENGTH",60,60,102,0.48,470,454,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",130,"FORK LENGTH",41,41,107,0.51,478,466,0
"SHORTRAKER ROCKFISH",10,"FORK LENGTH",1,1,1,1,539,0,0
"SHORTRAKER ROCKFISH",15,"FORK LENGTH",1,1,1,0,0,557,0
"SHORTRAKER ROCKFISH",21,"FORK LENGTH",1,1,1,1,716,0,0
"SHORTRAKER ROCKFISH",37,"FORK LENGTH",1,1,1,1,625,0,0
"SHORTRAKER ROCKFISH",43,"FORK LENGTH",1,1,1,0,0,562,0
"SHORTRAKER ROCKFISH",54,"FORK LENGTH",2,2,2,1,493,0,0
"SHORTRAKER ROCKFISH",68,"FORK LENGTH",1,1,1,1,664,0,0
"SHORTRAKER ROCKFISH",76,"FORK LENGTH",4,4,4,0.5,443,538,0
"SHORTRAKER ROCKFISH",79,"FORK LENGTH",1,1,1,1,752,0,0
"SHORTRAKER ROCKFISH",80,"FORK LENGTH",17,17,17,0.82,671,586,0
"SHORTRAKER ROCKFISH",81,"FORK LENGTH",5,5,5,0.2,707,774,0
"SHORTRAKER ROCKFISH",82,"FORK LENGTH",3,3,3,0.33,684,582,0
"SHORTRAKER ROCKFISH",83,"FORK LENGTH",3,3,3,0.67,767,603,0
"SHORTRAKER ROCKFISH",88,"FORK LENGTH",2,2,2,1,634,0,0
"SHORTRAKER ROCKFISH",93,"FORK LENGTH",2,2,2,0.5,643,597,0
"SHORTRAKER ROCKFISH",94,"FORK LENGTH",1,1,1,0,0,670,0
"SHORTRAKER ROCKFISH",95,"FORK LENGTH",1,1,1,0,0,620,0
"SHORTRAKER ROCKFISH",103,"FORK LENGTH",5,5,5,0.8,630,676,0
"SHORTRAKER ROCKFISH",110,"FORK LENGTH",3,3,3,0.33,650,649,0
"SHORTRAKER ROCKFISH",112,"FORK LENGTH",1,1,1,1,734,0,0
"SHORTRAKER ROCKFISH",115,"FORK LENGTH",3,3,3,0.33,592,510,0
"SHORTRAKER ROCKFISH",117,"FORK LENGTH",6,6,6,0,0,620,0
"SHORTRAKER ROCKFISH",120,"FORK LENGTH",1,1,1,0,0,584,0
"SHORTRAKER ROCKFISH",130,"FORK LENGTH",2,2,2,0,0,623,0
"SHORTSPINE THORNYHEAD",11,"FORK LENGTH",1,1,1,0,0,434,0
"WIDOW ROCKFISH",84,"FORK LENGTH",1,0,1,0,0,0,306
"YELLOWEYE ROCKFISH",45,"FORK LENGTH",18,18,18,0.28,565,565,0
"YELLOWEYE ROCKFISH",47,"FORK LENGTH",1,1,1,1,563,0,0
"YELLOWEYE ROCKFISH",77,"FORK LENGTH",7,7,7,0.71,575,546,0
"YELLOWEYE ROCKFISH",84,"FORK LENGTH",27,27,30,0.52,569,516,0
"YELLOWEYE ROCKFISH",96,"FORK LENGTH",2,2,2,0,0,576,0
"YELLOWMOUTH ROCKFISH",47,"FORK LENGTH",1,1,1,1,506,0,0
"DOVER SOLE",21,"TOTAL LENGTH",2,2,2,1,413,0,0
"EMARGINATE SNAILFISH",2,"TOTAL LENGTH",23,23,27,0.55,385,406,404
"EMARGINATE SNAILFISH",13,"TOTAL LENGTH",7,7,7,0.33,371,348,302
"GIANT GRENADIER",2,"TOTAL LENGTH",19,19,18,0,0,1067,0
"GIANT GRENADIER",13,"TOTAL LENGTH",5,5,5,0.4,792,976,0
"GIANT GRENADIER",16,"TOTAL LENGTH",14,14,14,0.07,759,975,0
"GIANT GRENADIER",19,"TOTAL LENGTH",1,1,1,0,0,812,0
"GIANT GRENADIER",25,"TOTAL LENGTH",5,5,5,0,0,995,0
"GIANT GRENADIER",38,"TOTAL LENGTH",6,6,6,0.33,787,1137,0
"GIANT GRENADIER",40,"TOTAL LENGTH",3,4,4,0.25,0,877,0
"GIANT GRENADIER",44,"TOTAL LENGTH",1,1,1,1,548,0,0
"GIANT GRENADIER",50,"TOTAL LENGTH",4,4,4,0.25,740,915,0
"GIANT GRENADIER",56,"TOTAL LENGTH",3,3,2,0,0,877,0
"GIANT GRENADIER",57,"TOTAL LENGTH",1,1,1,1,831,0,0
"GIANT GRENADIER",65,"TOTAL LENGTH",3,3,3,0.33,850,1028,0
"GIANT GRENADIER",66,"TOTAL LENGTH",8,8,16,0,0,1206,0
"GIANT GRENADIER",92,"TOTAL LENGTH",2,2,2,0,0,1005,0
"GIANT GRENADIER",122,"TOTAL LENGTH",10,10,13,0.2,771,1101,0
"GIANT GRENADIER",126,"TOTAL LENGTH",10,10,10,0,0,1219,0
"GIANT GRENADIER",132,"TOTAL LENGTH",5,5,5,0,0,999,0
"PACIFIC GRENADIER",2,"TOTAL LENGTH",47,47,43,0.64,647,674,0
"PACIFIC GRENADIER",7,"TOTAL LENGTH",1,1,1,1,583,0,0
"PACIFIC GRENADIER",13,"TOTAL LENGTH",9,9,9,0.89,570,635,0
"PACIFIC GRENADIER",16,"TOTAL LENGTH",18,18,18,0.72,627,660,0
"PACIFIC GRENADIER",19,"TOTAL LENGTH",4,4,5,1,552,0,0
"PACIFIC GRENADIER",25,"TOTAL LENGTH",24,24,24,0.54,612,658,0
"PACIFIC GRENADIER",36,"TOTAL LENGTH",3,3,3,0.33,460,594,0
"PACIFIC GRENADIER",38,"TOTAL LENGTH",32,32,32,0.78,578,654,0
"PACIFIC GRENADIER",46,"TOTAL LENGTH",8,8,8,0.88,574,640,0
"PACIFIC GRENADIER",50,"TOTAL LENGTH",36,36,36,0.89,571,610,0
"PACIFIC GRENADIER",56,"TOTAL LENGTH",16,16,17,1,544,0,510
"PACIFIC GRENADIER",57,"TOTAL LENGTH",18,18,18,0.94,573,594,0
"PACIFIC GRENADIER",58,"TOTAL LENGTH",1,1,2,0,0,632,0
"PACIFIC GRENADIER",65,"TOTAL LENGTH",50,50,50,1,607,0,0
"PACIFIC GRENADIER",66,"TOTAL LENGTH",45,45,110,0.87,586,683,0
"PACIFIC GRENADIER",121,"TOTAL LENGTH",7,7,7,0.71,574,514,0
"PACIFIC GRENADIER",122,"TOTAL LENGTH",30,30,66,0.93,600,656,0
"PACIFIC GRENADIER",126,"TOTAL LENGTH",29,29,28,0.79,592,565,0
"PACIFIC SLEEPER SHARK",2,"TOTAL LENGTH",1,1,1,1,1009,0,0
